brand,place,lat,lng
AVIA,Murg,47.5544,8.01622
E Center,Laufenburg,47.565825,8.07204
OMV,Bad Säckingen,47.55987,7.96361
BFT,Laufenburg,47.568383,8.089122
MTB,Laufenburg-Luttingen,47.570302,8.091492
ESSO,Bad Säckingen,47.554178,7.935905
ZG Raiffeisen Energie,Albbruck,47.5947,8.1389
AVIA,Görwihl,47.6397,8.07522
Kaiser/Freie-24h-Tankstelle,Wehr,47.611324310303,7.910774230957
Shell,Dogern,47.614203,8.182726
,Rheinfelden,47.570331573486,7.8017201423645
OMV,Waldshut-Tiengen,47.61076,8.23031
ARAL,Rheinfelden,47.5628242,7.792269
ESSO,Rheinfelden,47.563048,7.779966
Shell,Schopfheim,47.642795,7.81546
ESSO,Schopfheim,47.647983,7.814101
SB Tankstelle,Schopfheim,47.6469,7.807144
E Center,Waldshut-Tiengen,47.627508,8.262922
Shell,Waldshut-Tiengen,47.628558,8.266414
Tankpool24,Waldshut-Tiengen,47.6318,8.26802
Freie Tankstelle,Zell,47.699855804443,7.8464798927307
BFT,Zell im Wiesental,47.71576,7.87401
AVIA-Tankstelle,Todtmoos,47.7447,8.0094
BFT,Zell im Wiesental,47.71276,7.86077
Tankpool24,Rheinfelden-Herten,47.54673,7.73747
JET,Maulburg,47.6456,7.77041
Freie Tankstelle,Waldshut-Tiengen,47.63465,8.284
Shell,Steinen Hoellstein,47.642275,7.754187
OMV,Lauchringen,47.63248,8.29985
Kröber Mineralöl GmbH,Steinen,47.641094207764,7.7403259277344
BFT,Lauchringen,47.62389,8.32451
ESSO,St. Blasien,47.75897,8.13755
AVIA,Häusern,47.7534,8.1703
Freietankstelle Griessen,Klettgau Grießen,47.626678466797,8.419340133667
BFT,Wutöschingen-Horheim,47.648120880127,8.350152015686
Freie Tankstelle,Hohentengen,47.573169708252,8.4456195831299
BFT - Freie Tankstelle,Birkendorf,47.745391,8.3159339
freie Tankstelle,Jestetten,47.651568,8.581738
ARAL,Stühlingen,47.7510529,8.45803
bft,Grafenhausen,47.775344,8.256081
BFT,Bonndorf,47.8184,8.33173
ARAL,Bonndorf,47.8183365,8.330662
