STATIONS_ID;date;RS
2712;2026-07-15;44.92
2712;2025-08-21;63.37
2712;2024-05-31;77.1
2712;2024-05-16;54.5
2712;2022-08-26;84.6
2712;2022-08-19;45.9
2712;2021-07-08;55.9
2712;2021-06-23;53.8
2712;2017-08-31;52.8
2712;2017-07-08;76.6
2712;2017-04-25;45.0
2712;2016-08-04;40.5
2712;2016-05-12;50.6
2712;2015-11-20;46.6
2712;2015-06-14;62.9
2712;2013-04-19;47.8
2712;2012-08-31;70.7
2712;2009-07-17;67.3
2712;2009-05-26;66.3
2712;2007-08-08;46.3
2712;2007-06-20;48.4
2712;2000-09-20;67.6
2712;1996-08-02;64.9
2712;1995-11-16;46.4
2712;1994-08-24;47.0
2712;1994-08-10;48.5
2712;1994-05-18;51.5
2712;1993-07-05;55.6
2712;1992-06-24;44.0
2712;1991-06-16;43.3
2712;1991-05-11;43.8
2712;1990-05-24;49.7
2712;1989-07-10;48.7
2712;1987-09-26;40.7
2712;1987-09-25;56.7
2712;1986-07-18;54.1
2712;1986-04-09;48.9
2712;1984-09-05;44.9
2712;1984-07-26;58.8
2712;1983-06-21;55.3
2712;1982-07-24;43.2
2712;1981-09-28;46.4
2712;1978-08-07;81.4
2712;1978-05-23;47.3
2712;1975-09-04;49.4
2712;1975-08-23;42.2
2712;1975-08-11;77.2
2712;1975-06-27;58.9
2712;1975-06-23;59.2
2712;1973-10-07;49.2
2712;1973-07-06;62.0
2712;1973-06-23;52.1
2712;1972-11-22;49.8
2712;1972-07-21;58.5
2712;1969-08-26;43.0
2712;1969-07-05;42.0
2712;1968-09-21;69.1
2712;1965-06-10;43.7
2712;1964-08-29;45.6
2712;1962-06-15;42.3
2712;1962-01-01;46.6
2712;1959-06-07;44.9
2712;1958-05-27;48.3
2712;1957-07-10;46.5
2712;1955-06-07;41.6
2712;1954-08-21;45.6
2712;1954-07-01;49.9
2712;1951-09-07;69.5
2712;1947-06-29;48.5
2712;1947-05-15;52.6
2712;1946-06-13;52.3
2712;1944-11-08;40.3
2712;1944-11-07;51.3
2712;1944-08-29;40.8
6263;2026-07-15;51.26
6263;2025-08-21;57.04
6263;2025-07-27;45.52
6263;2024-06-26;68.5
6263;2024-05-16;60.8
6263;2021-07-08;44.3
6263;2021-06-28;40.6
6263;2020-08-02;40.0
6263;2019-06-10;41.5
6263;2017-07-21;50.0
6263;2016-07-25;50.3
6263;2015-11-20;48.6
6263;2014-07-21;40.9
6263;2014-02-26;58.4
6263;2010-06-17;40.5
6263;2009-07-17;54.1
6263;2009-07-14;54.4
6263;2008-09-13;43.9
6263;2008-08-12;43.3
6263;2008-07-28;82.8
6263;2006-04-09;40.4
