STATIONS_ID,date,RS
2712,2022-08-26,84.6
2712,1978-08-07,81.4
2712,1975-08-11,77.2
2712,2024-05-31,77.1
2712,2017-07-08,76.6
2712,2012-08-31,70.7
2712,1951-09-07,69.5
2712,1968-09-21,69.1
2712,2000-09-20,67.6
2712,2009-07-17,67.3
2712,2009-05-26,66.3
2712,1996-08-02,64.9
2712,2025-08-21,63.37
2712,2015-06-14,62.9
2712,1973-07-06,62.0
2712,1975-06-23,59.2
2712,1975-06-27,58.9
2712,1984-07-26,58.8
2712,1972-07-21,58.5
2712,1987-09-25,56.7
2712,2021-07-08,55.9
2712,1993-07-05,55.6
2712,1983-06-21,55.3
2712,2024-05-16,54.5
2712,1986-07-18,54.1
2712,2021-06-23,53.8
2712,2017-08-31,52.8
2712,1947-05-15,52.6
2712,1946-06-13,52.3
2712,1973-06-23,52.1
2712,1994-05-18,51.5
2712,1944-11-07,51.3
2712,2016-05-12,50.6
2712,1954-07-01,49.9
2712,1972-11-22,49.8
2712,1990-05-24,49.7
2712,1975-09-04,49.4
2712,1973-10-07,49.2
2712,1986-04-09,48.9
2712,1989-07-10,48.7
2712,1947-06-29,48.5
2712,1994-08-10,48.5
2712,2007-06-20,48.4
2712,1958-05-27,48.3
2712,2013-04-19,47.8
2712,1978-05-23,47.3
2712,1994-08-24,47.0
2712,1962-01-01,46.6
2712,2015-11-20,46.6
2712,1957-07-10,46.5
5229,1953-06-25,97.0
5229,1969-07-25,91.1
5229,2022-08-30,70.9
5229,2023-08-16,69.4
5229,1979-11-06,67.5
5229,2000-05-30,60.3
5229,1990-02-14,59.1
5229,2015-11-20,58.9
5229,1972-11-16,58.7
5229,1973-11-15,56.6
5229,1978-08-07,55.7
5229,1956-08-10,53.1
5229,1955-01-12,52.6
5229,1989-07-10,52.1
5229,1986-01-23,51.5
5229,2015-07-24,51.5
5229,1986-12-18,51.4
5229,1982-07-17,51.0
5229,1984-11-22,50.7
5229,2023-11-13,50.4
5229,1996-06-10,50.3
5229,1981-10-10,49.4
5229,2024-06-02,49.3
5229,1988-12-04,48.0
5229,1947-12-28,47.6
5229,1977-07-30,47.6
5229,1969-09-18,47.5
5229,1996-06-08,47.0
5229,2004-01-13,46.8
5229,2001-12-29,46.7
5229,1986-10-22,46.1
5229,1964-07-21,46.0
5229,1977-08-17,45.5
5229,1957-06-16,45.0
5229,1989-07-08,44.2
5229,1960-06-26,44.1
5229,1996-07-07,43.3
5229,1951-10-22,42.7
5229,1988-01-04,42.7
5229,2018-06-08,41.7
5229,1999-06-13,41.6
5229,2008-08-12,41.2
5229,1966-02-08,40.9
5229,1952-01-10,40.6
5229,2019-06-10,40.4
5229,1967-12-23,40.1
5229,1975-08-11,40.0
5229,1960-08-11,39.9
5229,1967-01-26,39.9
5229,1956-07-09,39.4
5731,2010-06-17,104.3
5731,1972-07-21,88.0
5731,1975-06-23,75.7
5731,1977-07-08,75.5
5731,1994-05-18,70.1
5731,2015-11-20,67.8
5731,2016-06-24,66.3
5731,1968-09-21,65.2
5731,1995-06-21,63.6
5731,1982-07-24,60.8
